        24,        24,     1.824,     5.249,    12.187,    23.431,    33.561,     2.886,     5.604,    10.895,    13.930,    19.184,    11.292,    25.022,    32.348,    59.532,    72.040,    29.553,    97.113,    48.037,    15.458,     5.735,     0.616,     1.816,     0.219,     0.178,     0.245,     0.000,     0.000,     0.000,     0.000,     0.000
        25,        25,    36.697,    91.393,   190.097,   325.840,   499.404,    42.557,   111.990,   191.001,   217.662,   266.675,   224.666,   432.622,   494.469,   812.850,   100.626,    12.708,   561.530,   145.288,    74.957,    25.501,     8.955,    27.012,     0.640,     0.835,     1.050,     0.000,     0.000,     0.000,     0.000,     0.000
        26,        26,    90.120,    88.028,   102.429,    89.538,   413.922,    32.686,   263.996,   183.336,   117.901,    71.706,   557.730,   433.124,   271.872,   237.359,   153.713,    34.467,   612.240,   287.075,   105.531,    37.769,     5.169,    20.699,     1.282,     1.193,     1.580,     0.000,     0.000,     0.000,     0.000,     0.000
        27,        27,     7.277,    13.769,    20.960,    27.102,    63.212,     5.216,    21.638,    28.660,    24.061,    22.068,    44.986,    67.310,    55.727,    69.416,    94.873,    54.716,   295.415,   107.159,    50.107,    18.390,     1.043,     3.510,     0.513,     0.607,     0.826,     0.000,     0.000,     0.000,     0.000,     0.000
        28,        28,    44.050,    82.300,   123.183,   157.888,   357.828,    29.519,   131.724,   172.238,   141.448,   128.641,   269.807,   396.795,   321.135,   398.093,   124.701,    96.975,   694.514,   237.576,   111.327,    38.557,     6.491,    21.546,     1.202,     1.427,     1.835,     0.000,     0.000,     0.000,     0.000,     0.000
        29,        29,     8.566,    41.498,   181.123,  1155.156,   592.313,    64.346,    35.289,    76.773,   188.298,   886.651,    45.012,   112.572,   352.946,  2288.426,   100.857,    10.578,   790.630,   223.134,   118.526,    39.428,    23.048,    47.605,     1.218,     1.640,     2.032,     0.000,     0.000,     0.000,     0.000,     0.000
        30,        30,     6.244,    18.262,    44.438,    93.529,   112.650,    11.059,    17.956,    35.295,    47.011,    70.954,    32.960,    73.512,    99.469,   200.492,    61.944,     0.000,   126.742,    17.290,    11.580,     4.311,     2.876,     7.359,     0.100,     0.170,     0.236,     0.000,     0.000,     0.000,     0.000,     0.000
        31,        31,    17.074,    47.596,   111.452,   225.066,   354.317,    33.585,    47.308,    90.993,   118.887,   172.038,    94.674,   208.904,   273.967,   526.195,    61.691,     1.439,   205.805,    46.091,    27.809,    10.100,     7.659,    21.251,     0.285,     0.436,     0.593,     0.000,     0.000,     0.000,     0.000,     0.000
        32,        32,    10.842,    33.824,   109.195,   409.998,   374.946,    37.648,    32.198,    65.203,   115.472,   312.107,    57.921,   133.150,   249.912,   896.089,    97.455,     3.700,   379.686,   113.009,    45.658,    14.903,    10.590,    25.218,     0.690,     0.707,     0.864,     0.000,     0.000,     0.000,     0.000,     0.000
        33,        33,    16.696,    51.435,   127.780,   274.908,   282.866,    28.470,    49.921,    99.344,   134.138,   208.361,    86.623,   194.814,   270.897,   566.810,    86.096,     2.879,   332.305,   109.416,    52.987,    19.891,     9.188,    22.231,     0.699,     0.859,     1.209,     0.000,     0.000,     0.000,     0.000,     0.000
        34,        34,    29.860,    60.642,    98.045,   137.442,   217.608,    21.078,    86.407,   117.644,   102.916,   103.810,   153.942,   232.308,   203.095,   282.327,    65.985,     1.511,   229.953,   144.592,    84.359,    37.998,     6.633,    18.099,     0.968,     1.435,     2.428,     0.000,     0.000,     0.000,     0.000,     0.000
